2020-4-25,2723
2020-4-28,14604
2020-2-25,9296
2020-2-3,5724
2020-5-10,1684
2020-2-10,283
2020-5-11,454
2020-2-9,142
2020-4-11,16499
2020-5-7,10610
2020-2-14,129
2020-3-7,302
2020-3-16,905
2020-2-22,593
2020-2-12,122
2020-4-19,9555
2020-4-26,1613
2020-2-4,363
2020-3-10,1496
2020-4-1,13391
2020-5-5,1006
2020-2-21,1478
2020-4-14,13938
2020-2-24,9096
2020-5-14,144
2020-2-26,7685
2020-2-28,2671
2020-5-2,7782
2020-3-11,2524
2020-4-23,716
2020-3-29,1507
2020-3-20,3009
2020-3-28,26591
2020-3-18,428
2020-4-21,1711
2020-2-6,187
2020-3-9,1539
2020-4-6,5264
2020-4-22,1269
2020-4-17,9463
2020-2-1,606
2020-3-3,11827
2020-5-9,1515
2020-4-24,1088
2020-3-27,26783
2020-3-4,8230
2020-4-3,15970
2020-2-11,150
2020-3-22,2834
2020-3-2,5406
2020-3-21,4351
2020-3-23,1921
2020-4-16,4838
2020-4-8,11881
2020-3-8,567
2020-2-15,359
2020-2-13,162
2020-5-4,1434
2020-3-30,5485
2020-1-31,837
2020-4-30,23856
2020-4-9,16311
2020-2-19,688
2020-2-18,193
2020-4-10,17052
2020-2-7,199
2020-5-6,6498
2020-4-27,6912
2020-4-2,15371
2020-2-5,369
2020-2-29,506
2020-4-15,20499
2020-4-13,3532
2020-3-12,1779
2020-3-5,7812
2020-3-15,166
2020-3-1,1794
2020-3-26,14080
2020-4-18,7587
2020-2-17,245
2020-5-8,590
2020-2-8,275
2020-5-12,363
2020-2-23,1663
2020-2-27,5901
2020-3-25,5470
2020-2-20,134
2020-5-3,931
2020-3-31,7703
2020-3-14,489
2020-4-4,18184
2020-2-2,156
2020-5-1,13124
2020-3-13,831
2020-3-6,2966
2020-3-19,738
2020-2-16,68
2020-3-17,627
2020-4-7,6637
2020-4-20,16421
2020-4-5,11204
2020-3-24,4149
2020-4-12,10361
2020-5-13,204
2020-4-29,21886
